,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
3330,Bachelor Arts ,Philosophy,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3331,Master Arts ,Philosophy,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3332,Bachelor Sciences ,Pharmaceutical Chemistry,4 or 5 Year(s),"4, 8, 12 or 16 Month(s)",Ontario Tech University,CO-OP
3333,Master Engineering ,Petroleum Systems Engineering,2 Year(s),4-8 Month(s),University of Regina,CO-OP
3334,Bachelor Engineering ,Petroleum,5 Year(s),4 Month(s),University of Alberta,CO-OP
3335,Graduate Diploma ,Environmental Toxicology,1 Year(s),8 Month(s),Université du Québec à Montréal (UQAM),CO-OP
3336,College Diploma (DCS) Environment ,Environmental Technology,2 Year(s),20 Month(s),Assiniboine Community College,CO-OP
3337,Bachelor Business administration ,Management Information Systems,4.25 Year(s),4 Month(s),University of Manitoba,CO-OP
3338,Master Sciences ,Neuroscience,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3339,Bachelor Sciences ,Neuroscience,5 Year(s),4 Month(s),Brock University,CO-OP
3340,Bachelor ,Network and Information Technology Security,4 Year(s),"4, 8, 12 or 16 Month(s)",Ontario Tech University,CO-OP
3341,Master Arts ,Native American Studies,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3342,College Diploma (DCS) Computer Sciences ,Network Administration,2 Year(s),4 Month(s),Assiniboine Community College,CO-OP
3343,College Diploma (DCS) ,Network Management,3 Year(s),3 Month(s),Collège Ahuntsic,CO-OP
3344,College Diploma (DCS) Business administration ,Office Administration,2 Year(s),16 Month(s),Assiniboine Community College,CO-OP
3345,Apprenticeship Vocational & Technical Training (excluding QC) Business administration ,Office Administration -Executive,1.5 Year(s),4 Month(s),New Brunswick Community College NBCC (Saint-John),CO-OP
3346,Apprenticeship Vocational & Technical Training (excluding QC) ,Office Administration -Executive,1.5 Year(s),4 Month(s),New Brunswick Community College NBCC (Saint-John),CO-OP
3347,Bachelor Commerce,Operations Management,4 Year(s),4 Month(s),University of Saskatchewan,CO-OP
3348,Bachelor Applied Sciences,Occupational Health and Safety,5 Year(s),"4, 8, 12 or 16 Month(s)",Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
3349,Bachelor Health Sciences ,Nursing,4 Year(s),2 Month(s),University of Saskatchewan,CO-OP
3350,College Diploma (DCS) ,Environmental Technician,2 Year(s),4 Month(s),Fleming College,CO-OP
3351,Graduate Certificate ,Brand Management,1 Year(s),2 Month(s),Seneca College,CO-OP
3352,Bachelor ,Oenology and Viticulture,4.5 Year(s),4 Month(s),Brock University,CO-OP
3353,Bachelor Arts ,Women's and Gender Studies,4 Year(s),4-8 Month(s),University of Regina,CO-OP
3354,Master Arts ,Women & Gender Studies,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
