,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
0,Bachelor ,Computer Information Systems,4 Year(s), ,Okanagan College,CO-OP
1,Bachelor ,Applied Ecotourism and Outdoor Leadership (ETOL),4 Year(s),* Notes ,Medicine Hat College,CO-OP
2,College Diploma (DCS) Engineering ,Aircraft Maintenance Engineer,2 Year(s), ,Okanagan College,CO-OP
3,College Diploma (DCS) Environment ,Adventure Recreation and Parks,2 Year(s),400 Hour(s),Sault College,CO-OP
4,Applied Degree ,Culinary operations,2 Year(s),640 Hour(s),Holland College,CO-OP
5,Bachelor ,Criminology and Criminal Justice,4 Year(s),384 Hour(s),Carleton University,CO-OP
6,College Diploma (DCS) Environment ,GIS Environmental Technologies,2 Year(s),600 Hour(s),Assiniboine Community College,CO-OP
7,Master ,Educational Technology,2 Year(s),675 Hour(s),Concordia University of Montreal,CO-OP
8,College Diploma (DCS) Applied technology ,Electrical Technician - Industrial,3 Year(s),630 Hour(s),Conestoga College,CO-OP
9,College Diploma (DCS) Environment ,Fish and Wildlife Conservation,2 Year(s),400 Hour(s),Sault College,CO-OP
10,Bachelor Business administration ,Human Resources Strategy and Technology,4 Year(s),440 Hour(s),Seneca College,CO-OP
11,College Diploma (DCS) ,Native Child & Family Services,2 Year(s),525  Hour(s),Confederation College,CO-OP
12,College Diploma (DCS) Environment ,Natural Environment Conservation,2 Year(s),400 Hour(s),Sault College,CO-OP
13,College Diploma (DCS) Environment ,Natural Environment Conservation Technologist,3 Year(s),400 Hour(s),Sault College,CO-OP
14,Bachelor ,International Relations & international laws,3 Year(s),450 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
15,Bachelor Management Sciences ,Human Services Management,4 Year(s),14 wks or 560 Hour(s),Loyalist College,CO-OP
16,College Diploma (DCS) ,Golf Club Management,2 Year(s),500 Hour(s),Holland College,CO-OP
17,College Diploma (DCS) ,Forest Ecosystem Management Technician,2 Year(s),640  Hour(s),Confederation College,CO-OP
18,Bachelor Business administration ,Business Administration,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
19,Bachelor Arts ,Anthropology and Sociology,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
20,Bachelor Business administration ,Accounting,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
21,Bachelor Communication ,Strategy of cultural and media production,4 Year(s),280 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
22,College Diploma (DCS) ,Tourism and Travel Management,2 Year(s),250 Hour(s),Holland College,CO-OP
23,College Diploma (DCS) ,Sports and Leisure Management,2 Year(s),250 Hour(s),Holland College,CO-OP
24,Bachelor Sciences ,Actuarial Science,3 Year(s),420 Hour(s),Université de Montréal,CO-OP
25,College Diploma (DCS) ,Physical rehabilitation,3 Year(s),558 Hour(s),Cégep Marie-Victorin,CO-OP
26,Bachelor Health Sciences ,Mental Health,4 Year(s),320 Hour(s),Brandon University,CO-OP
27,Bachelor Health Sciences ,Psychiatric Nursing,4 Year(s),320 Hour(s),Brandon University,CO-OP
28,College Diploma (DCS) ,Professional Golf Management,1 Year(s),500 Hour(s),Holland College,CO-OP
29,College Diploma (DCS) ,Marketing & Advertising,2 Year(s),150 Hour(s),Holland College,CO-OP
30,Doctorate Arts ,Clinical Psychology,3-5 Year(s),1600 Hour(s),Antioch University Seattle,CO-OP
31,Bachelor Arts ,General,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
32,College Diploma (DCS) ,Hotel and Restaurant Management,2 Year(s),500 Hour(s),Holland College,CO-OP
33,College Diploma (DCS) ,Culinary Arts,2 Year(s),640 Hour(s),Holland College,CO-OP
34,College Diploma (DCS) ,Culinary Management,2 Year(s),450  Hour(s),Confederation College,CO-OP
35,Bachelor Business administration ,Human Resources,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
36,Bachelor Arts ,History,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
37,College Diploma (DCS) Engineering ,Civil Engineering,2 Year(s),400 Hour(s),Sault College,CO-OP
38,College Diploma (DCS) Engineering ,Civil Engineering Technology,3 Year(s),600 Hour(s),Collège communautaire du Nouveau-Brunswick CCNB (Edmundston) ,CO-OP
39,Bachelor ,Computer Science ,3 Year(s),450 Hour(s),Université du Québec à Trois-Rivières (UQTR),CO-OP
40,Bachelor Business administration ,Finance,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
41,College Diploma (DCS) Engineering ,Industrial Engineering Technology,3 Year(s),notes Hour(s),Cégep de Trois-Rivières,CO-OP
42,Master Law ,International Law,2 Year(s),450 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
43,Bachelor Arts ,Mathematics,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
44,Master ,Counselling Psychology,2 Year(s),125 Hour(s),City University of Seattle,CO-OP
45,Master Public Health ,Nursing,2-4 Year(s),400 Hour(s),Lakehead University,CO-OP
46,College Diploma (DCS) ,Occupational Health and Safety,2 Year(s),525 Hour(s),Northern Alberta Institute of Technology (NAIT),CO-OP
47,College Diploma (DCS) ,Interior Design,3 Year(s),558 Hour(s),Cégep Marie-Victorin,CO-OP
48,Bachelor Arts ,Political Science,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
49,College Diploma (DCS) Environment ,Forestry,2 Year(s),400 Hour(s),Sault College,CO-OP
50,Bachelor Arts ,Communication,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
51,Bachelor ,Political Science,3 Year(s),450 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
52,College Diploma (DCS) Engineering ,Power Engineering Technology,2 Year(s),560 Hour(s),Georgian College  ,CO-OP
53,College Diploma (DCS) Engineering ,Power engineering,2 Year(s),530 Hour(s),Northern Alberta Institute of Technology (NAIT),CO-OP
54,Bachelor ,Public Administration,3 Year(s),480 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
55,College Diploma (DCS) ,Recreation and Leisure Services,2 Year(s),700 Hour(s),Georgian College  ,CO-OP
56,Bachelor Arts ,Psychology,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
57,Master ,Project Management,2 Year(s),480 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
58,Attestation of Collegial studies (ACS; QC Only) ,Digitisation and Archiving,645 Hour(s),450 Hour(s),Cégep de Matane,CO-OP
59,Master Engineering ,Cities Engineering and Management,16 Month(s),40 Hour(s),University of Toronto,CO-OP
60,Attestation of Collegial studies (ACS; QC Only) Business administration ,Judicial techniques,14 Month(s),520 Hour(s),CDI College (Montreal),CO-OP
61,Master Law ,Law,16 Month(s),200 Hour(s),HEC Montréal,CO-OP
62,Diploma of Vocational Studies (DVS; QC only) Commerce,Accounting,12 Month(s),120 Hour(s),Western Quebec Career Centre,CO-OP
63,Diploma of Vocational Studies (DVS; QC only) Commerce,Secretarial Studies,13 Month(s),75 Hour(s),Western Quebec Career Centre,CO-OP
64,Attestation of Collegial studies (ACS; QC Only) Social Sciences ,Private security investigation,10 Month(s),135 Hour(s),Cégep Gérald-Godin,CO-OP
65,Bachelor Arts & Sciences ,Géographie environnementale,3 Year(s),135 Hour(s),Université de Montréal,CO-OP
66,Master Management Sciences ,Project Management,2 Year(s),420 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
67,College Diploma (DCS) Applied Sciences,Marine Navigation Technology Diploma,3 Year(s),1920 Hour(s),Nova Scotia Community College,CO-OP
68,College Diploma (DCS) Business administration ,Business - Hospitality,2 Year(s),600 Hour(s),Nova Scotia Community College,CO-OP
69,College Diploma (DCS) Business administration ,Business - Tourism,2 Year(s),600 Hour(s),Nova Scotia Community College,CO-OP
70,Bachelor Social Sciences ,Psychoeducation,3 Year(s),498 Hour(s),Université de Montréal,CO-OP
71,Master Social Sciences ,"Psychoeducation - 2-210-1-1, segment 72",2 Year(s),560 Hour(s),Université de Montréal,CO-OP
72,Master Social Sciences ,"Psychoeducation - 2-210-1-1, segment 73",2 Year(s),540 Hour(s),Université de Montréal,CO-OP
73,Master Social Sciences ,"Psychoeducation 2-210-1-1, segment 74",2 Year(s),420 Hour(s),Université de Montréal,CO-OP
74,College Diploma (DCS) Business administration ,Business Administration Marketing,3 Year(s),120 Hour(s),St. Lawrence College of Applied Arts and Technology,CO-OP
75,Master Arts ,Public Policy and Administration ,1 Year(s),180 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
76,Bachelor Business administration ,Legal Studies,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
77,Bachelor Business administration ,Marketing,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
78,College Diploma (DCS) ,Fashion Design,3 Year(s),558 Hour(s),Cégep Marie-Victorin,CO-OP
79,Bachelor Arts ,English,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
80,Master Law ,Law and Society,2 Year(s),450 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
81,College Diploma (DCS) Business administration ,Office Administration - Executive,2 Year(s),490 Hour(s),Georgian College  ,CO-OP
82,Bachelor Arts ,Indigenous Studies,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
83,Bachelor Business administration ,Economics,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
84,"Diplôme d'études professionelle (DEP, Qc seulement) Commerce",Sécretariat,13 Month(s),90 Hour(s),"École des métiers de l'informatique, du commerce et de l'administration de Montréal (EMICA)",CO-OP
85,Master ,Industrial Relations,2 Year(s),540 Hour(s),Université Laval,CO-OP
86,College Certificate ,Water and Wastewater,1 Year(s),600 Hour(s),Northern Alberta Institute of Technology (NAIT),CO-OP
87,Bachelor Arts ,Drama,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
88,Bachelor Computer Sciences ,Computer Science ,3 Year(s),500 Hour(s),Université du Québec à Rimouski (UQAR),CO-OP
89,Master Social Sciences ,Political Management,1 Year(s),375 Hour(s),Carleton University,CO-OP
90,College Diploma (DCS) Planning,Law Enforcement Foundations,2 Year(s),180 Hour(s),Ravensberg College,CO-OP
91,College Diploma (DCS) Business administration ,Business Administration Co-op,3 Year(s),420 Hour(s),Humber College,CO-OP
92,College Diploma (DCS) ,Culinary Management,2 Year(s),600 Hour(s),Nova Scotia Community College,CO-OP
93,College Diploma (DCS) Applied Arts,Culinary Management,2 Year(s),400 Hour(s),Sault College,CO-OP
94,College Diploma (DCS) Law ,Legal Techniques,3 Year(s),420 Hour(s),Cégep de Sorel-Tracy,CO-OP
95,Bachelor Computer Sciences ,Bachelor in computer science (B.Sc.),3 Year(s),420 Hour(s),Université de Montréal,CO-OP
96,College Diploma (DCS) Forestry ,Environmental Resources Technology,2 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
97,College Certificate Forestry ,Environmental Resources Technology Certificate,1 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
98,Undergraduate Diploma Arts ,Associate of Arts - First Nations Studies,2 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
99,Undergraduate Diploma Arts ,Associate of Arts - Criminology,2 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
100,Undergraduate Diploma Arts ,Associate of Arts,2 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
101,College Certificate Business administration ,Administrative Studies Certificate,1 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
102,College Diploma (DCS) Business administration ,Administrative Studies Diploma,2 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
103,College Certificate Business administration ,Office Administration Certificate,1 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
104,College Diploma (DCS) Business administration ,Executive Assistant Diploma,2 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
105,Apprenticeship Vocational & Technical Training (excluding QC) Applied Arts,Culinary Arts Professional Cook Level 1,1 Year(s),420 Hour(s),Nicola Valley Institute of Technology,CO-OP
106,Bachelor Commerce,Accounting (AF001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
107,Bachelor Commerce,Business Technology Management (IT001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
108,Bachelor Commerce,Economics and Management Science (BM001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
109,Bachelor Commerce,Entrepreneurship and Strategy (BM001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
110,Bachelor Commerce,Finance (AF001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
111,Bachelor Commerce,Global Management Studies (BM001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
112,Bachelor Commerce,Hospitality & Tourism Management (HT001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
113,Bachelor Commerce,Human Resource Management and Organizational Behaviour (BM001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
114,Bachelor Commerce,Law and Business (BM001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
115,Bachelor Commerce,Marketing Management (BM001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
116,Bachelor Commerce,Real Estate Management (BM001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
117,Bachelor Commerce,Retail Management (RL001),5 Year(s),420 Hour(s),Toronto Metropolitan University (formerly Ryerson University) ,CO-OP
118,College Diploma (DCS) Applied technology ,Game Development ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
119,College Diploma (DCS) Applied technology ,Geographic Sciences,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
120,College Diploma (DCS) Applied Arts,Radio Television Journalism ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
121,College Diploma (DCS) Applied technology ,Civil Engineering Technology ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
122,College Diploma (DCS) Applied technology ,Construction Management Technology ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
123,College Diploma (DCS) Applied technology ,Drafting Architectural,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
124,College Diploma (DCS) Applied technology ,Electrical Engineering Technology ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
125,College Diploma (DCS) Applied technology ,Energy Sustainability Engineering Technology ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
126,College Diploma (DCS) Applied technology ,Environmental Engineering Technology ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
127,College Diploma (DCS) Applied technology ,Horticulture & Landscape Technology ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
128,College Diploma (DCS) Applied technology ,Metal Fabrication ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
129,College Diploma (DCS) Applied Sciences,Natural Resources Environmental Technology,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
130,College Diploma (DCS) Engineering ,Electronic Engineering Technology,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
131,College Diploma (DCS) Applied Sciences,Heavy Duty Equipment/Truck and Transport Repair Diploma,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
132,College Diploma (DCS) Applied technology ,Cyber Security,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
133,College Diploma (DCS) Applied Arts,Music Production and Engineering ,2 Year(s),420 Hour(s),Nova Scotia Community College,CO-OP
134,Bachelor ,Indigenous Social Work,4 Year(s),700 Hour(s),Laurentian University,CO-OP
135,Master Law ,Labour Law,2 Year(s),450 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
136,Post-Master's Diploma Forestry ,PSCTest,2 Day(s),2 Day(s),Academy Canada (Corner Brook),CO-OP
137,College Diploma (DCS) ,Metallurgical Engineering Technologies,3 Year(s),notes Day(s),Cégep de Trois-Rivières,CO-OP
138,College Diploma (DCS) ,Pulp and Paper Technology,3 Year(s),notes Day(s),Cégep de Trois-Rivières,CO-OP
139,Bachelor Sciences ,"Pure Math (Options in Finance,Teaching and Engineering Electives)",5 Year(s),16 Week(s),University of Waterloo,CO-OP
140,Bachelor Arts & Sciences ,Pure and Applied Mathematics,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
141,Master Applied Sciences,Quality Systems Engineering,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
142,College Diploma (DCS) Communication ,Radio Television Journalism ,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
143,College Diploma (DCS) ,Real Estate Appraisal,3 Year(s),12 Week(s),Cégep de Drummondville,CO-OP
144,Bachelor Commerce,Real Estate ,5 Year(s),16 Week(s),University of Guelph,CO-OP
145,College Diploma (DCS) Social Sciences ,Records,2 Year(s),4 Week(s),MacEwan University,CO-OP
146,Bachelor Arts ,Recreation and Health Education,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
147,Bachelor Health Sciences ,Recreation and Sport Administration,4 Year(s),12 Week(s),University of Regina,CO-OP
148,College Diploma (DCS) ,"Recreation, Fish and Wildlife Technology",2 Year(s),16 Week(s),Selkirk College,CO-OP
149,Master Environment ,Regional and Community Planning,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
150,Apprenticeship Vocational & Technical Training (excluding QC) ,Regulatory Affairs,1 Year(s),12 Week(s),Humber College,CO-OP
151,Bachelor Arts ,Religion & Culture,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
152,College Diploma (DCS) ,Metallurgical Engineering Technology,3 Year(s),12 Week(s),Cégep de Chicoutimi,CO-OP
153,Bachelor Applied Sciences,Materials Engineering,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
154,Bachelor Sciences ,Microbiology and Chemistry,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
155,Bachelor Engineering ,Mineral Resources Engineering,5 Year(s),14 min. Week(s),Dalhousie University,CO-OP
156,College Diploma (DCS) ,Mineral Technology:  Exploitation,3 Year(s),28 Week(s),Cégep de Thetford,CO-OP
157,College Diploma (DCS) Applied Sciences,Mineral Technology:  applied geology,3 Year(s),28 Week(s),Cégep de Thetford,CO-OP
158,College Diploma (DCS) ,Mineral Technology:  mineralurgy,3 Year(s),28 Week(s),Cégep de Thetford,CO-OP
159,Doctorate Arts & Sciences ,Psychology of labour and organizations - 322017,5 Year(s),1870 Hour(s),Université de Montréal,CO-OP
160,Doctorate Arts & Sciences ,Psychology of labour and organizations - 322018,4 Year(s),1870 Hour(s),Université de Montréal,CO-OP
161,Bachelor Social Sciences ,Social Work Practicum,4 Year(s),700 Hour(s),York University,CO-OP
162,Master Social Sciences ,Social Work Practicum (2),2 Year(s),550 Hour(s),York University,CO-OP
163,Master Social Sciences ,Social Work Practicum (1),1 Year(s),450 Hour(s),York University,CO-OP
164,Bachelor ,Natural Resource Science,5 Year(s),12 Week(s),Thompson Rivers University,CO-OP
165,Bachelor Sciences ,Natural Resources Conservation,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
166,Bachelor Sciences ,Natural Resources Management - Forestry,4 Year(s),16 Week(s),University of Northern British Columbia,CO-OP
167,Bachelor Sciences ,Natural Resources Management - Wildlife and Fisheries,4 Year(s),16 Week(s),University of Northern British Columbia,CO-OP
168,College Diploma (DCS) Applied technology ,Nautical Science,4 Year(s),8-20 Week(s),Memorial University of Newfoundland,CO-OP
169,College Diploma (DCS) Sciences ,"Nautical Sciences, Deck Officer",4 Year(s),26 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
170,College Diploma (DCS) Engineering ,"Nautical Sciences, Marine Engineer",4 Year(s),26 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
171,Bachelor Arts ,Mediterranean Studies (Spain or Italy Concentration),5 Year(s),16-18 Week(s),University of Victoria,CO-OP
172,Bachelor Sciences ,Physics & Astronomy,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
173,Bachelor Sciences ,Physics & Mathematics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
174,Bachelor Sciences ,Physics & Ocean Sciences,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
175,Bachelor Sciences ,Physics (Including Pre-Engineering and Astronomy),4 Year(s),16 Week(s),University of Lethbridge,CO-OP
176,Bachelor Arts & Sciences ,Physics and Biophysics,3-4 Year(s),12-17 Week(s),Concordia University of Montreal,CO-OP
177,Bachelor Sciences ,Physics and Computer Science,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
178,Bachelor Sciences ,Physics and High Technology,4 Year(s),16 Week(s),University of Windsor,CO-OP
179,Bachelor Sciences ,Physics and Ocean Science (Physical Oceangraphy),5 Year(s),16-18 Week(s),University of Victoria,CO-OP
180,Bachelor Engineering ,Physics/Engineering,4 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
181,College Diploma (DCS) Applied technology ,Pipe Trades,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
182,College Diploma (DCS) ,Navigation,4 Year(s),12  Week(s),Cégep de Rimouski,CO-OP
183,College Diploma (DCS) Engineering ,Network Engineering Technology,2 Year(s),15 Week(s),Northern Alberta Institute of Technology (NAIT),CO-OP
184,Bachelor ,Philosophy in Interdisciplinary Leadership,4 Year(s),12-16 Week(s),University of New Brunswick (Fredericton),CO-OP
185,Bachelor Information Technology,"Information Technology, Photonics and Laser Technology",5 Year(s),16 Week(s),Carleton University,CO-OP
186,Bachelor Sciences ,Physical Geography & Earth and Ocean Sciences,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
187,Bachelor Health Sciences ,Physical and Health Education,4 Year(s),4 Week(s),Laurentian University,CO-OP
188,Bachelor Sciences ,Mathematics,4 Year(s),16 Week(s),University of Toronto,CO-OP
189,College Diploma (DCS) Business administration ,Physical fitness and Leisure Management,3 Year(s),16 Week(s),Cambrian College,CO-OP
190,Bachelor Sciences ,Neuroscience (Concentrations in Neurobiology and Neuropsychology),4.5-5 Year(s),12 - 16 Week(s),Brock University,CO-OP
191,College Diploma (DCS) ,Northern Environmental Studies,2  Year(s),12  Week(s),Yukon College,CO-OP
192,College Diploma (DCS) Law ,Northern Justice and Criminology,2  Year(s),12  Week(s),Yukon College,CO-OP
193,College Diploma (DCS) Sciences ,Northern Science,2  Year(s),12  Week(s),Yukon College,CO-OP
194,Bachelor Arts ,Northern Studies,4 Year(s),16 Week(s),University of Northern British Columbia,CO-OP
195,Bachelor Computer Sciences ,Numerical and Statistical Computation,5 Year(s),16 Week(s),University of New Brunswick (Fredericton),CO-OP
196,Bachelor Computer Sciences ,Numerical and Statistical Computation (PEP),5 Year(s),48-64 Week(s),University of New Brunswick (Fredericton),CO-OP
197,Master Health Sciences ,Nursing and Health Informatics,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
198,Bachelor Sciences ,Nutrition and Dietetics,4.5 Year(s),12-18 Week(s),Acadia University,CO-OP
199,Bachelor Commerce,Marketing Logistics,4 Year(s),12-16 Week(s),Dalhousie University,CO-OP
200,Bachelor Business administration ,Operations Management / Quantitative Business Analysis,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
201,College Diploma (DCS) ,Administrative Assistant Techniques ,2 Year(s),16 Week(s),La Cité - Collège d'arts appliqués et de technologie ,CO-OP
202,College Diploma (DCS) ,Office Technology,3.5 Year(s),12 min. Week(s),Collège de Valleyfield,CO-OP
203,College Diploma (DCS) ,Management of Administrative Work,3 Year(s),16 Week(s),Cégep de l'Outaouais,CO-OP
204,College Diploma (DCS) ,Professional Management,2 Year(s),16 Week(s),Selkirk College,CO-OP
205,Bachelor Sciences ,Psychology and Computer Science,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
206,College Diploma (DCS) ,Office Automation - Administration,3 Year(s),15 Week(s),Cégep de Sept-Îles,CO-OP
207,Bachelor Arts ,Psycholinguistics,4 Year(s),16 Week(s),University of Toronto,CO-OP
208,Bachelor Sciences ,Psychology,4 Year(s),16 Week(s),University of Toronto,CO-OP
209,Bachelor Sciences ,Psychology (Biopsychology),5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
210,Bachelor Arts & Sciences ,Arts & Sciences,4 Year(s),12-16  Week(s),Quest University Canada,CO-OP
211,Bachelor Arts ,Arts and Business,5 Year(s),16 Week(s),University of Waterloo,CO-OP
212,Master Business administration ,Arts and Media Administration,2 Year(s),16 Week(s),York University,CO-OP
213,Bachelor Sciences ,Atmospheric and Planetary Science,5 Year(s),16 Week(s),University of Waterloo,CO-OP
214,College Diploma (DCS) ,Auto Collision Refinishing Technician,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
215,College Diploma (DCS) ,Auto Collision Repair Technician,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
216,College Diploma (DCS) Applied technology ,Automation & Instrumentation,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
217,College Diploma (DCS) ,Automotive Service Technician,2 Year(s),18 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
218,Bachelor ,Professional Translation,3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
219,College Diploma (DCS) ,Programmer Analyst: Internet Option,2 Year(s),13 Week(s),Collège Marsan,CO-OP
220,Bachelor Computer Sciences ,Programming,4 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
221,Master Engineering ,Process Systems Engineering,2 Year(s),13-32 Week(s),University of Regina,CO-OP
222,Bachelor Business administration ,Production & Operations Management,4 Year(s),12-16 Week(s),Université de Moncton,CO-OP
223,College Certificate Applied Arts,Professional Baking & Pastry,1 Year(s),16 Week(s),Red River College,CO-OP
224,Bachelor Arts ,Professional Communication,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
225,Bachelor Arts ,Politics,4.5 Year(s),12-18 Week(s),Acadia University,CO-OP
226,Bachelor Arts ,Political Science - European Studies Concentration,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
227,College Diploma (DCS) Health Sciences ,Primary Health Care Worker,2 Year(s),16 Week(s),Holland College,CO-OP
228,Bachelor ,Public Affairs and Policy Management,4-5 Year(s),16 Week(s),Carleton University,CO-OP
229,Master Public Health ,Public Health Leadership,1 Year(s),15-17 Week(s),University of Alberta,CO-OP
230,Bachelor Business administration ,Public Accounting (Chartered Accounting),5 Year(s),16 Week(s),University of Waterloo,CO-OP
231,Master Law ,Public Administration and Law,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
232,Bachelor Arts ,Public Administration/Political Science,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
233,Bachelor Sciences ,Pharmacy,4 Year(s),16 Week(s),University of Waterloo,CO-OP
234,Bachelor ,Administration,4 Year(s),13  Week(s),First Nations University of Canada,CO-OP
235,Bachelor Business administration ,Administration,5 Year(s),16 Week(s),Trinity Western University,CO-OP
236,Bachelor Arts ,Administration,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
237,College Diploma (DCS) ,Administrative Technics-Management accounting,3 Year(s),12 Week(s),Cégep de Saint-Jérôme,CO-OP
238,College Diploma (DCS) ,Administrative Technics-Management accounting,3 Year(s),12 Week(s),Cégep Saint-Jean-sur-Richelieu,CO-OP
239,Bachelor Sciences ,Actuarial Science,5 Year(s),16 Week(s),University of Calgary,CO-OP
240,Bachelor Management Sciences ,Accounting,4 Year(s),13 Week(s),Concordia University of Edmonton,CO-OP
241,Bachelor Commerce,Accounting,4 Year(s),12-16 Week(s),Dalhousie University,CO-OP
242,College Diploma (DCS) ,Accounting Management,2 Year(s),16 Week(s),Douglas College,CO-OP
243,College Diploma (DCS) ,Accounting Techniques and Administration,3 Year(s),12 Week(s),Cégep de Sorel-Tracy,CO-OP
244,College Diploma (DCS) Business administration ,Accounting Techniques and Administration,3 Year(s),12 Week(s),Cégep de Thetford,CO-OP
