academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Maîtrise Sciences appliquées,Master Applied Sciences,Masters of Engineering in  Chemical and Biological Engineering,Maîtrise en Ingénierie Génie Chimique et Biologique,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Patrick Blaeser,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Masters of Engineering in Clean Energy Engineering,Maîtrise en Ingénierie Génie Énergie Propre,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Patrick Blaeser,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Masters of Engineering in Electrical and Computer Engineering,Maîtrise en Ingénierie Génie Informatique et Électrique,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Patrick Blaeser,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Masters of Engineering in Geological Engineering,Maîtrise en Ingénierie Génie Géologique,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Patrick Blaeser,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Masters of Engineering in Materials Engineering,Maîtrise en Ingénierie Génie des Matériaux,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Patrick Blaeser,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Masters of Engineering in Mechanical Engineering,Maîtrise en Ingénierie Génie Mécanique,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Patrick Blaeser,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Masters of Engineering in Mining Engineering,Maîtrise en Ingénierie Génie des Mines,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),University of British Columbia (Vancouver),University of British Columbia (Vancouver),Patrick Blaeser,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Instrumental Chemical Analysis,Analyse chimique instrumentale,18 Month(s),18 Mois,15 Week(s),15 Semaine(s),Trent University (Peterborough),Trent University (Peterborough),Alicia Kavish,CO-OP,Coopératif
Maîtrise ,Master ,Public Health,Santé publique,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),McMaster University,McMaster University,Fran Scott,CO-OP,Coopératif
Maîtrise Arts ,Master Arts ,Political Science,Science politique,12 Month(s),12 Mois,12-16 Week(s),12-16 Semaine(s),Memorial University of Newfoundland,Memorial University of Newfoundland,Rebecca Newhook,CO-OP,Coopératif
